               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                 116,            0.012367,           0.0067898,                   0,             0.99957,                   1,               0.995,             0.86518,           0.0042044,           0.0023269,                   0,            0.006205,            0.006205,            0.006205
                 117,             0.01307,           0.0072664,                   0,             0.99955,                   1,               0.995,             0.84074,           0.0043681,           0.0024002,                   0,            0.006172,            0.006172,            0.006172
                 118,            0.012925,           0.0071135,                   0,             0.99948,                   1,               0.995,             0.84206,           0.0045242,           0.0023605,                   0,            0.006139,            0.006139,            0.006139
                 119,            0.013728,           0.0069053,                   0,              0.9996,                   1,               0.995,             0.85496,           0.0047105,           0.0023524,                   0,            0.006106,            0.006106,            0.006106
                 120,               0.014,           0.0071173,                   0,             0.99959,                   1,               0.995,             0.85564,           0.0042619,           0.0023612,                   0,            0.006073,            0.006073,            0.006073
                 121,            0.015408,           0.0069902,                   0,             0.99958,                   1,               0.995,             0.85821,           0.0043957,           0.0022685,                   0,             0.00604,             0.00604,             0.00604
                 122,            0.012312,           0.0067673,                   0,             0.99957,                   1,               0.995,             0.86012,           0.0042519,           0.0023293,                   0,            0.006007,            0.006007,            0.006007
                 123,            0.013466,           0.0070728,                   0,             0.99961,                   1,               0.995,             0.86813,           0.0043158,           0.0024154,                   0,            0.005974,            0.005974,            0.005974
                 124,            0.013398,           0.0068662,                   0,             0.99959,                   1,               0.995,             0.86796,            0.004239,           0.0023564,                   0,            0.005941,            0.005941,            0.005941
                 125,            0.013117,           0.0069041,                   0,             0.99962,                   1,               0.995,             0.85213,           0.0042678,           0.0023621,                   0,            0.005908,            0.005908,            0.005908
                 126,            0.013635,           0.0069095,                   0,             0.99955,                   1,               0.995,             0.86697,           0.0041891,           0.0022585,                   0,            0.005875,            0.005875,            0.005875
                 127,            0.012052,             0.00684,                   0,             0.99955,                   1,               0.995,             0.85299,           0.0044518,           0.0022398,                   0,            0.005842,            0.005842,            0.005842
                 128,            0.013818,           0.0069273,                   0,             0.99958,                   1,               0.995,             0.86789,           0.0042261,           0.0023204,                   0,            0.005809,            0.005809,            0.005809
